"filename", "language", "XML", "Rust", "Shell Script", "TOML", "Properties", "comment", "blank", "total"
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/assistance/error.rs", "Rust", 0, 58, 0, 0, 0, 0, 6, 64
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/assistance/http_request.rs", "Rust", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/assistance/http_response.rs", "Rust", 0, 14, 0, 0, 0, 0, 2, 16
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/assistance/mod.rs", "Rust", 0, 3, 0, 0, 0, 0, 1, 4
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/handlers/metadata.rs", "Rust", 0, 57, 0, 0, 0, 0, 2, 59
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/handlers/mod.rs", "Rust", 0, 2, 0, 0, 0, 0, 0, 2
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/handlers/user.rs", "Rust", 0, 123, 0, 0, 0, 18, 7, 148
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/main.rs", "Rust", 0, 46, 0, 0, 0, 5, 9, 60
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/model/metadata.rs", "Rust", 0, 59, 0, 0, 0, 0, 3, 62
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/model/mod.rs", "Rust", 0, 2, 0, 0, 0, 0, 0, 2
"/Users/zihao/StudyField/github_repositories/P2P-Based_Document_Sharing_System/p2p-server/src/model/user.rs", "Rust", 0, 66, 0, 0, 0, 0, 2, 68
"Total", "-", 247, 1884, 2, 4505, 1, 156, 598, 7393
